state_code,zip_code,city,name,labels,founded_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,has_RoundABCD,has_Investor,has_Seed
CA,92101,San Diego,Bandsintown,1,1/1/2007,4/1/2009,1/1/2010,2.2493,3.0027,3,3,375000,3,music,0,1,0,0,0,0,1.0,0,0,1,1
CA,95032,Los Gatos,TriCipher,1,1/1/2000,2/14/2005,12/28/2009,5.126,9.9973,9,4,40100000,1,enterprise,1,0,0,1,1,1,4.75,1,1,1,0
CA,92121,San Diego,Plixi,1,3/18/2009,3/30/2010,3/30/2010,1.0329,1.0329,5,1,2600000,2,web,0,0,1,0,0,0,4.0,1,1,0,0
CA,95014,Cupertino,Solidcore Systems,1,1/1/2002,2/17/2005,4/25/2007,3.1315,5.3151,5,3,40000000,1,software,0,0,0,1,1,1,3.3333,1,1,0,0
CA,94105,San Francisco,Inhale Digital,0,8/1/2010,8/1/2010,4/1/2012,0.0,1.6685,2,2,1300000,1,games_video,1,1,0,0,0,0,1.0,1,0,1,1
CA,94043,Mountain View,Matisse Networks,0,1/1/2002,7/18/2006,7/18/2006,4.5452,4.5452,3,1,7500000,1,network_hosting,0,0,0,1,0,0,3.0,1,1,0,0
CA,94041,Mountain View,RingCube Technologies,1,1/1/2005,9/21/2006,3/18/2010,1.7205,5.211,6,3,26000000,2,software,1,0,1,1,0,0,1.6667,1,1,1,0
CA,94901,San Rafael,ClairMail,1,1/1/2004,8/24/2005,10/4/2010,1.6466,6.7616,25,3,34100000,3,finance,0,0,1,1,0,1,3.5,1,1,0,0
MA,1267,Williamstown,VoodooVox,1,1/1/2002,8/2/2005,2/8/2013,3.5863,11.1123,13,3,9650000,4,mobile,1,0,1,0,0,1,4.0,1,1,1,0
CA,94306,Palo Alto,Doostang,1,6/1/2005,2/1/2007,2/5/2010,1.6712,4.6849,14,3,5750000,4,web,1,1,1,0,0,0,1.0,1,1,1,0
CA,94025,Menlo Park,Zong,1,11/15/2000,7/1/2005,4/26/2010,4.6274,9.4493,22,3,27500000,3,mobile,0,0,1,1,0,0,1.0,1,1,0,0
CA,94025,Menlo Park,Center'd,0,1/1/2006,2/1/2007,5/3/2011,1.0849,5.3370000000000015,8,5,10400000,2,web,1,1,1,0,0,0,1.75,1,1,1,0
KY,40204,Louisville,Resonant Vibes,0,1/1/2004,11/25/2008,11/25/2008,4.9041,4.9041,0,1,350000,0,web,1,0,0,0,0,0,1.0,0,0,1,1
NY,11201,Brooklyn,drop.io,1,11/26/2007,12/3/2007,5/3/2010,0.0192,2.4356,15,3,9950000,3,education,0,0,1,1,1,0,2.3333,1,1,0,0
CO,80202,Denver,Stratavia,1,1/1/2001,8/31/2005,12/29/2009,4.6658,8.9973,12,5,10700000,1,software,0,0,1,1,0,0,2.5,1,1,0,0
VA,22182,Vienna,Invicta Networks,0,1/1/1999,8/9/2005,8/9/2005,6.6082,6.6082,0,1,200000,0,public_relations,1,0,0,0,0,0,1.0,0,0,1,1
CA,94022,Los Altos,QSecure,0,1/1/2003,8/2/2005,10/5/2009,2.5863,6.7644,8,5,49000000,1,security,1,0,1,1,1,1,3.5,1,1,1,0
CA,94010,Burlingame,MeeVee,1,7/1/2000,2/1/2005,9/1/2007,4.5918,7.1726,7,4,25000000,3,games_video,0,0,1,1,1,1,3.5,1,1,0,0
NY,10004,New York,SinglePlatform,1,1/1/2010,9/29/2010,8/1/2011,0.7425,1.5808,10,3,4575000,3,web,0,1,1,0,0,0,5.0,1,1,1,0
CA,94301,Palo Alto,Bling Nation,0,1/1/2007,7/2/2009,10/30/2009,2.5014,2.8301,13,2,28000000,3,enterprise,0,0,1,1,0,0,1.0,1,1,0,0
TX,78735,Austin,Metreos Corporation,1,1/1/2001,3/20/2003,10/14/2004,2.2137,3.7863,8,2,4355000,3,software,0,1,1,0,0,0,1.5,0,1,1,0
WA,98122,Seattle,Hidden City Games,0,1/1/2004,10/31/2007,10/31/2007,3.8329,3.8329,3,1,15000000,1,other,0,0,0,1,0,0,2.0,1,1,0,0
CA,94306,Palo Alto,Neopolitan Networks,0,1/1/2002,6/28/2007,6/28/2007,5.4904,5.4904,1,1,3170000,1,web,0,0,1,0,0,0,2.0,0,1,0,0
CA,94103,San Francisco,Pixelpipe,0,1/1/2008,1/1/2007,4/25/2011,-1.0,3.3151,4,2,2300000,3,mobile,0,1,1,0,0,0,2.0,0,1,1,0
CO,80302,Boulder,EventVue,0,5/1/2007,8/1/2007,9/1/2007,0.2521,0.337,5,2,455000,0,public_relations,0,1,1,0,0,0,4.5,1,1,1,0
IL,60601,Chicago,BridgePort Networks,1,1/1/2002,11/3/2006,11/3/2006,4.8411,4.8411,3,1,13000000,1,software,0,0,0,0,1,0,4.0,1,1,0,0
CA,94303,Palo Alto,Scalent Systems,1,1/1/2003,1/22/2007,1/22/2007,4.0603,4.0603,7,1,15000000,1,public_relations,0,0,0,0,1,0,4.0,1,1,0,0
CA,94704,Berkeley,IQ Engines,1,6/1/2008,6/25/2012,6/25/2012,4.0685,4.0685,2,1,3800000,3,photo_video,0,0,0,1,0,0,2.0,1,1,0,0
TX,78701,Austin,"RetailMeNot, Inc.",1,5/1/2007,11/1/2009,11/10/2011,2.5068,4.5315,37,5,299500000,2,web,1,0,1,0,1,0,1.75,1,1,1,0
CA,92705,Santa Ana,Mophie,1,5/24/2005,8/1/2006,8/1/2006,1.189,1.189,5,1,1000000,3,hardware,1,0,0,0,0,0,2.0,1,0,1,1
CA,94035,Moffett Field,Airship Ventures,0,1/1/2007,5/9/2008,3/1/2009,1.3534,2.1644,3,2,10500000,1,other,0,0,1,1,0,0,2.0,1,1,0,0
WA,98119,Seattle,Lockdown Networks,1,1/1/2001,2/25/2005,3/2/2006,4.1534,5.1671,6,2,8600000,1,public_relations,1,0,0,1,0,0,1.5,1,1,1,0
NC,27701,Durham,eMinor,0,10/1/2006,8/1/2006,10/7/2008,-0.1671,2.0192,9,2,5000000,0,software,0,0,1,1,0,0,2.5,1,1,0,0
CA,94105,San Francisco,Karma,1,1/1/2011,1/1/2011,11/14/2011,0.0,0.8685,3,2,2304999,2,mobile,1,0,0,0,0,0,5.0,1,0,1,1
PA,15219,Pittsburgh,Zipano,0,6/1/2009,7/1/2009,7/1/2009,0.0822,0.0822,2,1,25000,0,security,0,1,0,0,0,0,1.0,0,0,1,1
NY,10011,New York,Entertainment Media Works,0,7/1/2004,2/26/2007,2/26/2007,2.6575,2.6575,1,1,4000000,1,software,0,0,0,1,0,0,1.0,1,1,0,0
